time,phoneme,F1,F2,F3
672.3273442074516,ɔ,487.78452984379686,881.8598156502071,2137.0060903369945
672.7695712984637,,627.4738214883685,1412.3156436215384,2433.5107584362995
673.2008396519168,ɔ,429.2711850984141,865.3253023268168,1910.5233763735241
673.6230896606207,,501.89146948834826,1459.5582998765585,2630.120302184114
674.0559290112358,ɔ,447.36105936999695,906.3726597922388,1853.8093575065081
687.3608173790692,,313.4656668944827,1646.3044233605583,2328.8249293895533
700.6424338210748,ʋ,450.91537660492884,844.3555489529991,2187.5945283592027
701.1639237253323,,1712.755222392768,2992.42657072283,3235.850578560883
701.6883687947743,ʋ,475.45219541615506,870.7555762184642,2167.440974527879
702.1542998388615,,1183.9916126880407,2186.3381112909046,3190.824910709554
702.6074251671491,ʋ,380.35856798768805,885.0474540177629,2222.7175151674533
712.3722549158204,,240.90257753671472,1086.5033173699185,2239.3023270138356
722.142427535366,a,646.446668833486,1343.88636996442,2015.1514917338134
722.6499375572603,,278.5407455614404,1430.6678195784207,2506.568712913818
723.1708028702143,a,628.956379461054,1264.615717661713,1928.2334896322895
723.6474435171429,,233.16419220742142,1277.1367188117051,2329.9756253555784
724.0994293450943,a,635.9445481612218,1411.0905214699028,2080.958853263219
734.128694425424,,250.33860120800176,1632.0347882523427,2526.6395257476797
744.1679179489838,ʋ,444.1633995859168,1173.4288819982248,2530.0797957271375
744.8790406343198,,664.7942114109936,1550.3511573289165,2729.887502735626
745.5990235323332,ɔ,642.0256503911662,1218.3454032226057,1462.7886071638673
745.7132384621345,,568.8143791432268,1211.1267071745713,2924.7371119047625
745.8022320303465,ʋ,473.9644243200749,1138.76406223189,2544.675513462237
746.1614201047782,,380.94229841814655,1429.303639405333,2130.1451836251435
746.5437377507187,ɔ,606.2092523016634,1224.724860930741,3002.315798239399
746.6593620691983,,294.4806271835669,1011.7821167585741,2357.4664707301195
746.7457081267753,ʋ,403.6200495140091,1152.7255444262776,2532.544318867337
777.8568609788972,,1244.1331905747343,1286.040448347453,2544.270315371352
808.9884919932604,ɔ,639.9688837920505,1360.452598131285,2843.1188624304996
809.0988181601479,,574.8012730785592,1505.1973989694127,2861.0770622357604
809.2143158661081,a,580.0659374207968,1617.3004195381704,2268.9641935210975
809.6482199932603,,583.456232696992,1467.3206276583217,2424.602844121756
810.0812621972339,ɔ,547.270055211673,1501.833003360826,2235.287146433103
810.2045172118034,,324.03140740299705,949.0055242529472,2013.5571681687495
810.3329437654458,a,620.5664276510646,1598.2525088272291,2328.022157031852
810.713049138388,,1054.984028703668,2060.2088962869707,2885.390213483511
811.0794560893814,ɔ,498.50722565503855,1634.8798521231265,2515.7303305076907
811.1825174751903,,428.6683632090664,1718.9005209568234,2356.065943018446
811.3005393847457,a,534.606225943973,1531.6050704409206,1673.0495788041196
832.1164588747797,,1085.0553496404525,2087.28970547692,3000.5968912176745
852.9295907743951,ɩ,298.8615842219934,1788.0409369157624,2858.172411890366
853.0462542554401,,246.68387587241673,1634.2267088301644,2665.993987854041
853.1572954000492,a,594.528793525983,1621.0717900798077,2482.9622476780723
853.5971863247464,,666.4431258894446,1433.1442921829803,2460.037777719234
854.0455107540975,ɩ,357.6705276040578,2467.4817510520143,2990.322134504758
854.161471443088,,250.91963722044753,1212.9357708889384,2468.1726355830474
854.2718097956424,a,555.7503318239868,1631.4951749778259,2010.7622848893616
854.6767942872646,,354.65379088003573,1093.9475284262617,2024.9086543262215
855.0843264000843,ɩ,317.42884339798206,2452.7258371202192,3017.215923000508
855.1853966824203,,265.00322114750145,1347.2075337342085,2352.237031181749
855.2699074269724,a,554.556458281229,1628.511849368385,2456.970939149157
886.9205858260526,,356.3519652952257,1609.10246140843,2782.015622723595
918.5628245450105,ɔ,537.7531548239853,1190.1578607458177,1680.0746193454095
