vowel,duration,word,num_syl,syl_in_word,part_of_speech,part_of_word,first,final,nasal
i,0.09952134418165315, biri  ,1,2,V,root,no,no,not nasal
i,0.06008835875115892, biri,2,2,V,root,no,yes,not nasal
i,0.11266567265846561, biri  ,1,2,V,root,no,no,not nasal
i,0.06008835875115892, biri,2,2,V,root,no,yes,not nasal
i,0.1464653744559996, biri  ,1,2,V,root,no,no,not nasal
i,0.09576582175969861, biri,2,2,V,root,no,yes,not nasal
ɔ,0.08927061494796362, ɔlɔbʋ  ,1,3,N,pref,yes,no,not nasal
ɔ,0.04820613207192537, ɔlɔbʋ,2,3,N,root,no,no,not nasal
ɔ,0.09703283405855245, ɔlɔbʋ  ,1,3,N,pref,yes,no,not nasal
ɔ,0.07141649195835953, ɔlɔbʋ,2,3,N,root,no,no,not nasal
ɔ,0.10510154474928868, ɔlɔbʋ  ,1,3,N,pref,yes,no,not nasal
ɔ,0.07320190425730289, ɔlɔbʋ,2,3,N,root,no,no,not nasal
ɔ,0.09057520378428308, ɔnɔbʋ  ,1,3,N,pref,yes,no,nasal
ɔ,0.09179481854300775, ɔnɔbʋ,2,3,N,root,no,no,not nasal
ɔ,0.08960922762537393, ɔnɔbʋ  ,1,3,N,pref,yes,no,nasal
ɔ,0.10709395496684238, ɔnɔbʋ,2,3,N,root,no,no,not nasal
ɔ,0.0854723390728509, ɔnɔbʋ  ,1,3,N,pref,yes,no,nasal
ɔ,0.10490836404920856, ɔnɔbʋ,2,3,N,root,no,no,not nasal
o,0.09675034399242577, oyi  ,1,2,N,pref,yes,no,not nasal
i,0.12645644351937335, oyi,2,2,N,root,no,yes,not nasal
o,0.09217371428570687, oyi  ,1,2,N,pref,yes,no,not nasal
i,0.11174218353835386, oyi,2,2,N,root,no,yes,not nasal
o,0.08623061494796502, oyi  ,1,2,N,pref,yes,no,not nasal
o,0.1354052420056746, oyu  ,1,2,N,pref,yes,no,not nasal
u,0.09795141267738927, oyu  ,2,2,N,root,no,yes,not nasal
o,0.08428377369915552, oyu,1,2,N,pref,yes,no,not nasal
u,0.11617493131507217, oyu  ,2,2,N,root,no,yes,not nasal
o,0.13442495818350153, oyu,1,2,N,pref,yes,no,not nasal
u,0.08883965335854782, oyu  ,2,2,N,root,no,yes,not nasal
ɔ,0.061504375402080314, ɔcɩ  ,1,2,N,pref,yes,no,not nasal
i,0.10306138580892821, ɔcɩ,2,2,N,root,no,yes,not nasal
ɔ,0.08864309403975312, ɔcɩ  ,1,2,N,pref,yes,no,not nasal
ɩ,0.11303506830654442, ɔcɩ,2,2,N,root,no,yes,not nasal
ɔ,0.0942527394512922, ɔcɩ  ,1,2,N,pref,yes,no,not nasal
